"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6030006408691","32.7050018310547","32.8559989929199","32.9039993286133","33.2249984741211","33.5149993896484","33.7179985046387","33.9550018310547","34.0870018005371","33.6570014953613","32.7620010375977","32.4300003051758","33.0929985046387","32.7690010070801","33.5629997253418","35.1360015869141","36.2050018310547","37.0940017700195","37.5709991455078","38.5699996948242","36.1559982299805","38.0750007629395","39.0629997253418","37.5830001831055","37.7779998779297","38.3040008544922","38.5880012512207","38.757999420166","39.1300010681152","39.4669990539551",
"Botswana","BWA","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5919990539551","49.6389999389648","49.8499984741211","49.7299995422363","49.8790016174316","50.617000579834","48.556999206543","46.673999786377","49","51.2879981994629","49.298999786377","46.8419990539551","44.4059982299805","44.7900009155273","45.2999992370605","45.5999984741211","45.75","46.0979995727539","46.5359992980957","46.8240013122559","47.060001373291","47.2150001525879","47.3230018615723","47.6809997558594","48.117000579834","48.560001373291","48.9000015258789","49.2700004577637","49.6440010070801","49.9959983825684",
"Central African Republic","CAF","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3570003509521","14.3699998855591","14.4020004272461","14.4619998931885","14.4980001449585","14.4930000305176","14.5530004501343","14.6280002593994","14.8140001296997","14.8699998855591","14.9700002670288","15.0970001220703","15.0769996643066","15.2510004043579","15.3870000839233","15.5609998703003","15.7239999771118","15.8520002365112","16.0869998931885","16.2929992675781","16.5020008087158","16.7900009155273","16.9479999542236","17.2719993591309","17.5300006866455","17.7509994506836","17.9799995422363","18.17799949646","18.3479995727539","18.5060005187988",
"Canada","CAN","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.9780006408691","62.9360008239746","63.5750007629395","63.4650001525879","63.4690017700195","63.685001373291","63.523998260498","63.3460006713867","63.5740013122559","63.4640007019043","64.052001953125","63.8709983825684","64.0989990234375","64.0419998168945","64.1559982299805","64.9029998779297","65.536003112793","65.5080032348633","66.7109985351563","66.8850021362305","67.1330032348633","66.8489990234375","66.7580032348633","67.0650024414063","67.6340026855469","68.0380020141602","68.4570007324219","68.3949966430664","68.5410003662109","68.6529998779297",
"Central Europe and the Baltics","CEB","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1529587114091","34.0603089297927","34.784947106502","36.2109056669384","37.2834330044424","37.8530485412119","37.5793223717102","38.0385061225417","38.7570583201631","39.4593935938656","40.2189957217288","41.5145167255526","42.1271925637879","42.7821445380275","43.0947414354323","43.613646700216","43.4878775620399","43.2611988383008","44.5186455066351","45.0050282534779","45.2941509419866","45.5702609655732","46.0032967576609","46.2969650441905","46.716956228487","46.7301415718873","46.7622081235173","47.2225278687314","47.3855771519126","47.5429477180459",
"Switzerland","CHE","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.798999786377","57.6730003356934","58.3769989013672","58.7960014343262","56.851001739502","59.556999206543","60.3310012817383","59.9339981079102","60.0740013122559","59.5530014038086","60.7330017089844","61.8619995117188","63.2980003356934","63.898998260498","63.2290000915527","63.0979995727539","62.7029991149902","63.0190010070801","64.2050018310547","63.576000213623","63.6619987487793","64.7730026245117","64.495002746582","65.1240005493164","66.0800018310547","66.2910003662109","66.9649963378906","66.8840026855469","67.2020034790039","67.5579986572266",
"Channel Islands","CHI","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5190010070801","48.7360000610352","48.8740005493164","48.8769989013672","49.1209983825684","49.4500007629395","49.6300010681152","49.8759994506836","50.1339988708496","50.3979988098145","51.1380004882813","51.765998840332","52.5340003967285","53.2070007324219","53.7509994506836","54.0219993591309","54.4109992980957","55.185001373291","56.3849983215332","56.9519996643066","57.7109985351563","58.2379989624023","58.7249984741211","59.1430015563965","59.5859985351563","60.109001159668","60.6790008544922","61.3129997253418","61.8730010986328","62.3440017700195",
"Chile","CHL","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4150009155273","44.6230010986328","45.9370002746582","47.2070007324219","47.4959983825684","47.451000213623","46.8559989929199","49.0730018615723","51.6020011901855","51.3489990234375","52.25","52.0699996948242","52.2459983825684","52.515998840332","53.4259986877441","53.1119995117188","53.1619987487793","53.6419982910156","54.3880004882813","54.7540016174316","54.3779983520508","54.076000213623","54.3219985961914","54.7779998779297","55.5740013122559","55.9199981689453","56.7239990234375","56.8219985961914","57.1580009460449","57.5069999694824",
"China","CHN","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7870006561279","18.6469993591309","19.9820003509521","21.6580009460449","23.3229999542236","24.4200000762939","24.7660007476807","24.9890003204346","25.132999420166","25.6749992370605","25.80299949646","26.6140003204346","27.2290000915527","28.3169994354248","28.9860000610352","29.6399993896484","29.7049999237061","30.3719997406006","31.0849990844727","31.4710006713867","32.3899993896484","32.6230010986328","34.7669982910156","36.6450004577637","38.1110000610352","39.2589988708496","40.5859985351563","41.3269996643066","42.0139999389648","42.640998840332",
"Cote d'Ivoire","CIV","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8959999084473","33.951000213623","34.0110015869141","34.0919990539551","34.351001739502","34.6619987487793","34.9179992675781","35.2140007019043","35.4280014038086","35.5320014953613","35.7540016174316","35.8950004577637","36.068000793457","36.3460006713867","36.6319999694824","36.9150009155273","37.193000793457","37.5299987792969","37.8619995117188","38.0629997253418","37.8769989013672","38.5589981079102","39.3440017700195","38.9059982299805","38.4669990539551","37.9860000610352","37.5610008239746","38.1500015258789","38.5699996948242","38.9080009460449",
"Cameroon","CMR","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2469997406006","23.2509994506836","23.1539993286133","23.2870006561279","23.4570007324219","23.67799949646","23.9680004119873","24.2679996490479","24.6259994506836","25.0139999389648","25.4230003356934","26.4440002441406","27.5930004119873","28.9589996337891","30.2299995422363","31.6499996185303","33.189998626709","34.1650009155273","35.056999206543","36.0320014953613","37.0779991149902","38.1430015563965","39.226001739502","40.2470016479492","40.7039985656738","41.1349983215332","41.5519981384277","41.9630012512207","42.314998626709","42.6339988708496",
"Congo; Dem. Rep.","COD","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8309993743896","21.7649993896484","21.693000793457","21.6599998474121","21.701000213623","21.7290000915527","21.6959991455078","21.7749996185303","21.9440002441406","22.1830005645752","22.0919990539551","22.386999130249","22.5970001220703","22.8099994659424","23.0690002441406","23.246000289917","23.3929996490479","23.507999420166","23.5849990844727","23.8360004425049","24.0380001068115","24.2560005187988","24.5219993591309","24.8010005950928","25.0370006561279","25.1720008850098","25.3409996032715","25.5699996948242","25.7320003509521","25.8759994506836",
"Congo; Rep.","COG","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4669990539551","34.5940017700195","34.6959991455078","34.7879981994629","34.9650001525879","35.2169990539551","35.4160003662109","35.6139984130859","35.8479995727539","36.3120002746582","36.5540008544922","36.8880004882813","37.125","37.5190010070801","38.015998840332","38.4519996643066","38.5800018310547","38.935001373291","39.1279983520508","39.757999420166","40.1469993591309","40.4360008239746","40.6959991455078","41.2700004577637","41.4690017700195","41.8199996948242","42.0900001525879","42.4309997558594","42.7980003356934","43.1259994506836",
